id,name,price,category,description,material,color,average_rating
101,Aura Smart Desk Lamp,95.50,Lighting,Minimalist LED lamp with wireless charging and adjustable warmth settings.,Aluminum/Plastic,Matte Black,4.7
102,Zenith 4K Curved Monitor,450.00,Electronics,32-inch curved display with high refresh rate, perfect for productivity and gaming.,Plastic/Glass,Silver,4.9
103,Premium Wool Knit Sweater,120.00,Apparel,Soft, breathable Merino wool sweater, ideal for winter comfort.,Merino Wool,Forest Green,4.8
104,Leather Bi-Fold Wallet,55.00,Accessories,Slim profile wallet with RFID protection and capacity for 8 cards.,Full-Grain Leather,Cognac Brown,4.6
105,Geometric Concrete Planter,35.00,Home Decor,Modern concrete planter suitable for succulents and small indoor plants.,Reinforced Concrete,Light Gray,4.5
106,Espresso Maker (Semi-Auto),299.99,Kitchenware,Compact semi-automatic espresso machine with milk frother.,Stainless Steel/Plastic,Chrome,4.7
107,Wireless Mechanical Keyboard,149.99,Electronics,Tenkeyless (TKL) mechanical keyboard with tactile brown switches and RGB backlighting.,Aluminum,Gunmetal Gray,4.9
108,Bamboo Bed Sheets (Queen),89.00,Apparel,Ultra-soft and breathable bamboo viscose sheets.,Bamboo Viscose,Cloud White,4.6
109,Portable Bluetooth Speaker,75.00,Electronics,Waterproof speaker with 10 hours of battery life and deep bass.,Rubber/Mesh,Ocean Blue,4.4
110,Artisanal Olive Oil Set,45.00,Kitchenware,Set of three extra virgin olive oils from a small-batch producer.,Glass,N/A,4.9
111,Ergonomic Mesh Office Chair,320.00,Office Furniture,Adjustable lumbar support and breathable mesh for all-day comfort.,Mesh/Steel,Charcoal,4.7
112,Silk Scarf (Abstract Print),65.00,Accessories,Lightweight silk scarf with hand-rolled edges.,Silk,Multicolor,4.8
113,Smart Vacuum Robot,350.00,Home Decor,Self-navigating vacuum cleaner with mapping technology.,Plastic,White,4.5
114,Protein Shaker Bottle,15.00,Kitchenware,Leak-proof bottle with stainless steel wire whisk.,Plastic/Stainless Steel,Black,4.3
115,Minimalist Steel Shelf Unit,180.00,Office Furniture,Modular shelving unit for home or office storage.,Powder-Coated Steel,Black,4.6